	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
0610005C13Rik	1	0	0	7	0	3	2	1	1	11	0	3	9
0610006L08Rik	0	0	0	0	1	0	0	0	1	1	0	0	0
0610009B22Rik	192	146	121	236	79	122	182	151	103	253	120	92	214
0610009E02Rik	54	77	92	76	60	81	46	137	94	128	146	119	104
0610009L18Rik	64	134	145	69	70	176	86	173	193	95	279	323	133
0610009O20Rik	1075	979	836	1198	636	1055	1445	1076	986	2008	1614	1429	1940
0610010F05Rik	886	819	541	2377	793	695	1191	749	569	2116	1139	855	1728
0610010K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610012D04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	650	594	475	507	218	545	676	559	450	762	539	382	544
0610025J13Rik	2	1	0	3	1	1	0	2	0	0	1	0	0
0610030E20Rik	919	981	799	1203	482	970	1056	872	1029	1744	1908	1932	1737
0610031O16Rik	0	1	0	2	4	0	4	0	4	2	3	6	3
0610033M10Rik	0	0	1	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	539	917	504	740	539	563	781	918	559	1168	1122	818	972
0610038B21Rik	23	37	30	21	50	34	22	48	42	56	126	52	78
0610039K10Rik	4	1	2	1	2	4	3	3	2	5	3	0	1
0610040B10Rik	34	69	56	70	54	66	39	94	76	114	117	105	96
0610040F04Rik	166	24	36	214	22	84	162	38	73	414	15	34	285
0610040J01Rik	35	98	52	137	134	92	62	103	109	165	154	92	139
0610043K17Rik	23	261	132	46	249	120	34	170	175	86	560	574	85
1010001B22Rik	6	4	2	1	0	1	6	5	5	4	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	2	3	0	1	0
1110002J07Rik	4	5	3	8	1	3	6	2	2	15	2	4	21
1110002L01Rik	462	911	758	943	836	662	479	792	788	1448	2430	2170	1949
1110002O04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110004E09Rik	976	560	378	1054	205	415	1145	534	331	1446	481	361	1290
1110004F10Rik	1833	1621	1095	2630	1213	1409	2380	1841	1226	3102	1994	1557	2663
1110006O24Rik	10	23	24	11	6	19	20	14	11	41	27	24	19
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	1245	2486	1879	1670	1597	1942	1661	2532	2105	2324	4028	3127	2035
1110008L16Rik	940	1165	941	2275	1149	1017	1236	938	1083	3018	1868	1852	2519
1110008P14Rik	94	56	52	77	28	86	86	48	47	132	36	54	67
1110012L19Rik	251	343	254	298	101	248	282	256	181	336	180	171	311
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	1	6	1	6	5	2	2	4	7	14	11	9	9
1110018N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	37	105	80	133	180	65	33	99	68	134	237	171	126
1110020A21Rik	12	26	25	34	20	26	13	25	24	28	31	24	11
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	4	26	25	10	29	20	14	32	20	16	76	60	23
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	1	0	0	0	0	0	0	0	0	0
1110032A03Rik	130	247	159	186	186	217	154	250	221	343	320	256	260
1110032F04Rik	840	55	303	1011	25	280	1030	64	251	1119	36	230	1044
1110034G24Rik	437	989	1235	989	1071	1066	451	860	1443	1402	1990	2569	1356
1110035H17Rik	4	10	6	7	4	6	4	3	5	7	9	15	13
1110036E04Rik	0	3	5	2	1	13	2	4	14	6	0	1	5
1110038B12Rik	1282	520	582	1734	298	587	1626	523	570	2963	640	707	2150
1110038F14Rik	638	556	421	502	217	508	763	435	450	955	537	510	742
1110046J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110051M20Rik	766	1287	1092	1584	1237	1006	931	1149	1466	3182	2957	3102	2654
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	1172	1671	1505	2746	1814	1699	1444	1703	1863	3493	2702	2490	2809
1110059G10Rik	297	425	338	600	358	397	416	503	354	467	439	287	411
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	138	67	54	101	19	65	160	82	59	207	46	39	137
1190002N15Rik	1493	1686	1210	3155	1407	1420	1857	1442	1018	2595	2058	1355	2352
